system:index,B11,B12,B2,B3,B4,B8,NDBI,NDVI,SCL,class,year,.geo
1_1_90_0,0.23,0.1022,0.0346,0.0641,0.0358,0.4104,-0.28169894,0.83953387,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.7660299860572,-0.7691824620273403]}"
1_1_91_0,0.25355,0.10625,0.03865,0.0692,0.03305,0.4562,-0.2855231,0.8648952,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.73306181513001,-0.9188417883616525]}"
1_1_92_0,0.21745,0.104,0.04165,0.0709,0.03635,0.3306,-0.20645927,0.80188036,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.75713666474442,-0.9394132083679896]}"
1_1_93_0,0.22445,0.1253,0.05105,0.0853,0.08055,0.3444,-0.210864,0.6208966,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.70701067189054,-1.000498647688117]}"
1_1_94_0,0.00835,0.00745,0.0326,0.0488,0.041,0.0072,0.07395498,-0.70124483,6.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.73099568997654,-1.0396651940757282]}"
1_1_95_0,0.2071,0.0875,0.02905,0.05735,0.02485,0.3718,-0.2845051,0.8747006,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.67538997388954,-1.0040020772961833]}"
1_1_96_0,0.2427,0.1219,0.03275,0.0577,0.03415,0.3168,-0.13243969,0.80538535,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.92601993815889,-0.8707819206612581]}"
1_1_97_0,0.1777,0.07665,0.0287,0.0585,0.0256,0.337,-0.3095007,0.8587976,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.93769803685244,-0.9620507535278016]}"
1_1_98_0,0.18445,0.07935,0.03745,0.06045,0.03015,0.3624,-0.32540914,0.846389,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.72012607503869,-0.9378860723849864]}"
1_1_99_0,0.0095,0.0057,0.0446,0.0471,0.0305,0.0098,-0.015544063,-0.5136476,6.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.74968064788622,-1.00615803397807]}"
1_2_0_0,0.4643,0.3395,0.1044,0.1638,0.2196,0.2966,0.22039688,0.149167,5.0E-4,0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.86987523290142,-0.7402567098786916]}"
1_2_1_0,0.3477,0.3045,0.159,0.1881,0.2225,0.2441,0.17505914,0.046292346,5.0E-4,0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.83555958904806,-0.6688406447911898]}"
1_2_2_0,0.3932,0.2486,0.078,0.1096,0.1144,0.2994,0.13543172,0.44707587,5.0E-4,0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.80331007034816,-0.6784526183312686]}"
1_2_3_0,0.46065,0.4439,0.2275,0.2501,0.2894,0.3053,0.20282003,0.026736146,5.0E-4,0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.82118654450214,-0.7045037615707347]}"
1_2_4_0,0.51095,0.34695,0.0943,0.1332,0.179,0.3172,0.23395522,0.2785167,5.0E-4,0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.86511416189559,-0.762175602811208]}"
1_2_5_0,0.45325,0.31395,0.09025,0.1361,0.1582,0.3087,0.1897106,0.32233885,5.0E-4,0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.84175796450847,-0.7841843272721363]}"
1_2_6_0,0.5318,0.36825,0.1142,0.1589,0.1957,0.3123,0.26004025,0.22952755,5.0E-4,0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.84103931228118,-0.8226322214324518]}"
1_2_7_0,0.5291,0.3691,0.1076,0.1628,0.2094,0.3256,0.23809524,0.21719626,5.0E-4,0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.78749972134766,-0.769721451197812]}"
1_2_8_0,0.49995,0.34565,0.1166,0.1665,0.1853,0.3764,0.14098248,0.3402172,5.0E-4,0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.79845916781392,-0.8328730156714144]}"
1_2_9_0,0.4287,0.2756,0.109,0.146,0.186,0.2444,0.27380776,0.13568771,5.0E-4,0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.68042053948061,-0.8603614633654717]}"
1_2_10_0,0.44085,0.3053,0.109,0.1305,0.1464,0.2695,0.24121913,0.29598457,5.0E-4,0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.63712174278605,-0.880304062672925]}"
1_2_11_0,0.448,0.2848,0.0758,0.1013,0.1218,0.2524,0.27926898,0.34901124,5.0E-4,0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.68931386079339,-0.9070738581396868]}"
1_2_12_0,0.40565,0.313,0.1268,0.1473,0.1736,0.2061,0.32619533,0.08559389,5.0E-4,0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.6374810688997,-0.9932222938867489]}"
1_2_13_0,0.36,0.3088,0.1482,0.1857,0.2048,0.2514,0.17762515,0.10214818,5.0E-4,0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.69551223625382,-0.9585473239197354]}"
1_2_14_0,0.38445,0.29885,0.1148,0.1566,0.1855,0.2532,0.20583391,0.15431958,5.0E-4,0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.70377673686772,-0.9728305369372358]}"
1_2_15_0,0.224,0.142,0.126,0.207,0.2534,0.1354,0.24652201,-0.30349794,5.0E-4,0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.76935375260844,-0.9024026186622653]}"
1_2_16_0,0.44145,0.30715,0.1128,0.1671,0.2254,0.2331,0.30887258,0.016793884,5.0E-4,0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.92862505248284,-0.9954680820970477]}"
1_2_17_0,0.4524,0.3232,0.1021,0.1488,0.181,0.3152,0.17873892,0.27045548,5.0E-4,0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.76998257330733,-1.0541280701500524]}"
1_2_18_0,0.4155,0.3009,0.1356,0.1672,0.2036,0.2654,0.22044353,0.1317697,5.0E-4,0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.72704310272641,-1.030771872762945]}"
1_2_19_0,0.31,0.1751,0.06805,0.11055,0.1129,0.3368,-0.041434765,0.4978875,4.0E-4,0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.68688840952628,-1.0002291531028813]}"
1_2_20_0,0.3763,0.32015,0.1592,0.2481,0.3156,0.3179,0.084125616,0.0036306144,5.0E-4,0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.7171616346011,-0.9803763853238397]}"
1_2_21_0,0.34725,0.2675,0.174,0.2219,0.2801,0.2873,0.09447644,0.012689466,5.0E-4,0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.75336374055112,-0.9536964213854899]}"
1_2_22_0,0.417,0.36005,0.2449,0.2883,0.3404,0.333,0.11199999,-0.01098902,5.0E-4,0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.75264508832382,-0.9264774682766684]}"
1_2_23_0,0.48345,0.32915,0.1051,0.1382,0.1892,0.286,0.25661185,0.20370373,5.0E-4,0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.68527144201485,-0.8741955187409123]}"
1_2_24_0,0.4554,0.32935,0.1247,0.1966,0.261,0.3272,0.16381292,0.112546735,5.0E-4,0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.730007543164,-0.9319571915097976]}"
1_2_25_0,0.3609,0.23,0.0616,0.1002,0.1114,0.3516,0.013052664,0.5187905,5.0E-4,0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.66820345161659,-1.0234955189615769]}"
1_2_26_0,0.4695,0.3119,0.1064,0.1508,0.1974,0.2714,0.26737753,0.15784983,5.0E-4,0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.66344238061075,-0.8926109820653625]}"
1_2_27_0,0.4896,0.3508,0.0946,0.13,0.183,0.2642,0.2990183,0.18157424,5.0E-4,0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.8291815505308,-0.8417663369841976]}"
1_2_28_0,0.4712,0.3575,0.1344,0.1997,0.2387,0.3958,0.086966544,0.24759652,5.0E-4,0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.84220712215054,-0.9108467823329888]}"
1_2_29_0,0.34835,0.2967,0.25,0.2818,0.3001,0.2767,0.11463083,-0.040568672,5.0E-4,0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.73467878264144,-0.9590863130902071]}"
1_2_30_0,0.4122,0.30285,0.3136,0.368,0.3966,0.3934,0.02333663,-0.004050626,5.0E-4,0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.67601879458843,-0.9824425104773147]}"
1_2_31_0,0.43465,0.3525,0.132,0.197,0.2577,0.2953,0.19090348,0.067992784,5.0E-4,0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.71446668874874,-0.944353942430647]}"
1_2_32_0,0.3845,0.3122,0.2724,0.3208,0.3116,0.3328,0.07207584,0.03289882,5.0E-4,0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.82055772380326,-1.0186446164273313]}"
1_2_33_0,0.5246,0.4388,0.1688,0.225,0.2756,0.3228,0.23814021,0.07887705,5.0E-4,0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.06687577470883,-0.9990613432335258]}"
1_2_34_0,0.4647,0.4,0.2154,0.2554,0.2956,0.3184,0.18682162,0.03713355,5.0E-4,0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.12463744747771,-0.7552585751234877]}"
1_2_35_0,0.29415,0.23255,0.127,0.1441,0.1614,0.1836,0.23139718,0.064347796,6.0E-4,0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.11152204432958,-0.7311837255090845]}"
1_2_36_0,0.4112,0.365,0.1958,0.2402,0.261,0.2818,0.18672436,0.03831981,5.0E-4,0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.00237673730905,-1.0703875767926159]}"
1_2_37_0,0.36615,0.22035,0.07265,0.1137,0.1182,0.3288,0.053744875,0.47114095,4.0E-4,0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.01127005862183,-1.0112784310975513]}"
1_2_38_0,0.51445,0.38205,0.1601,0.2366,0.2962,0.3796,0.15083052,0.123409264,5.0E-4,0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.02941602736105,-0.9824425104773147]}"
1_2_39_0,0.4911,0.344,0.1614,0.2376,0.314,0.3444,0.17558351,0.046172507,5.0E-4,0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.1244577844209,-0.884256649923051]}"
1_2_40_0,0.3824,0.2944,0.1469,0.1802,0.2111,0.2236,0.26204622,0.028755471,5.0E-4,0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.08708786860151,-0.7967607412498096]}"
1_2_41_0,0.50605,0.3846,0.1619,0.1991,0.2679,0.3654,0.16139768,0.15395547,5.0E-4,0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.94084214034686,-0.9045585753441522]}"
1_2_42_0,0.56815,0.45135,0.2178,0.2438,0.2803,0.4194,0.15062526,0.1987995,5.0E-4,0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.09122011890847,-1.0274481062117027]}"
1_2_43_0,0.48445,0.36155,0.365,0.3693,0.35,0.5178,-0.033275094,0.1933625,5.0E-4,0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.20306037178135,-0.8989890205826111]}"
1_2_44_0,0.3046,0.2423,0.1308,0.1566,0.1934,0.2138,0.17515433,0.05009824,5.0E-4,0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.1402681334214,-0.7450177808845252]}"
1_2_45_0,0.41475,0.2769,0.08375,0.1364,0.1752,0.2742,0.20400612,0.22029372,5.0E-4,0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.03256013085546,-1.0337363132005393]}"
1_2_46_0,0.3042,0.2282,0.1078,0.122,0.1452,0.1656,0.29501915,0.065637074,5.0E-4,0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.02878720666216,-1.004271571881419]}"
1_2_47_0,0.4009,0.2625,0.1141,0.1521,0.1914,0.2654,0.20336187,0.16199647,5.0E-4,0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.01504298281513,-1.047480537047568]}"
1_2_48_0,0.3388,0.2573,0.09175,0.1223,0.1524,0.1927,0.27488244,0.11677773,5.0E-4,0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.01917523312208,-1.0773944360087482]}"
1_2_49_0,0.421,0.2997,0.1272,0.2256,0.2718,0.2568,0.24225436,-0.028376874,5.0E-4,0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.94398624384128,-1.0866470834351791]}"
1_2_50_0,0.4534,0.3354,0.1466,0.2244,0.2614,0.3416,0.14062892,0.13300164,5.0E-4,0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.90104677326036,-1.0526009341670493]}"
1_2_51_0,0.4783,0.3408,0.1135,0.1715,0.2171,0.2845,0.25406396,0.13437003,5.0E-4,0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.90068744714672,-0.99879184864829]}"
1_2_52_0,0.30325,0.21885,0.1982,0.216,0.1912,0.3826,-0.11569584,0.3335657,4.5E-4,0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.0658876278963,-1.0966183830889058]}"
1_2_53_0,0.6055,0.4493,0.2464,0.3452,0.418,0.476,0.119741075,0.06487695,5.0E-4,0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.05106542570833,-0.9348318004189801]}"
1_2_54_0,0.4928,0.3294,0.1312,0.1796,0.2428,0.2866,0.2645625,0.082735166,5.0E-4,0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.02052270604827,-0.9468692252261817]}"
1_2_55_0,0.33515,0.22245,0.09275,0.1458,0.1272,0.436,-0.13077869,0.54829544,4.0E-4,0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.0275295652644,-0.780860560720894]}"
1_2_56_0,0.41695,0.34985,0.1625,0.2067,0.2596,0.2981,0.16621214,0.069033496,5.0E-4,0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.07729623200461,-0.7461855907538805]}"
1_2_57_0,0.4661,0.3164,0.1064,0.1573,0.1833,0.352,0.13946952,0.31515038,5.0E-4,0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.88110417395292,-0.9880120652388557]}"
1_2_58_0,0.4789,0.3351,0.1395,0.197,0.2633,0.3205,0.19814862,0.09797873,5.0E-4,0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.85110044346332,-1.0396651940757282]}"
1_2_59_0,0.44845,0.2866,0.1176,0.1687,0.2032,0.3674,0.09934425,0.28776726,5.0E-4,0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.7329719836016,-0.8480545439730343]}"
1_2_60_0,0.42465,0.29495,0.098,0.1298,0.1712,0.2658,0.23006736,0.21647595,5.0E-4,0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.70449538909502,-0.8569478652858176]}"
1_2_61_0,0.49015,0.34425,0.1056,0.1581,0.191,0.3009,0.23923898,0.22341941,5.0E-4,0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.77761825322234,-0.8306272274611155]}"
1_2_62_0,0.4851,0.3468,0.0952,0.134,0.192,0.2744,0.27741936,0.17667237,5.0E-4,0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.81301187541665,-0.797838719590753]}"
1_2_63_0,0.20545,0.17555,0.0713,0.0798,0.0945,0.10285,0.33279273,0.042310614,5.0E-4,0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.79648287418885,-0.718966637645059]}"
1_2_64_0,0.3843,0.2675,0.078,0.1086,0.1416,0.2048,0.3047021,0.18244803,5.0E-4,0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.66182541309934,-0.8539834248482231]}"
1_2_65_0,0.4736,0.3415,0.1577,0.2411,0.3077,0.365,0.12950154,0.08517913,5.0E-4,0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.65409990165591,-0.9751661566759465]}"
1_2_66_0,0.30345,0.22365,0.1557,0.1819,0.1921,0.2747,0.049727585,0.17694941,5.0E-4,0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.63739123737129,-1.0577213312865306]}"
1_2_67_0,0.35565,0.2915,0.1388,0.188,0.2337,0.2577,0.15969676,0.048840027,5.0E-4,0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.65284226025814,-1.0541280701500524]}"
1_2_68_0,0.28,0.24805,0.1202,0.1257,0.1715,0.2064,0.15131578,0.0923525,5.0E-4,0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.6833849799182,-1.0811673602020502]}"
1_2_69_0,0.24445,0.2126,0.07215,0.08105,0.1105,0.1235,0.32871315,0.05555554,5.0E-4,0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.71392769957826,-1.0861080942647074]}"
1_2_70_0,0.5575,0.3971,0.2123,0.2944,0.3762,0.3924,0.17380778,0.021077292,5.0E-4,0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.74249412561328,-0.9898985273355067]}"
1_2_71_0,0.37885,0.2914,0.1465,0.20485,0.2529,0.2688,0.16992205,0.03047726,3.5E-4,0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.77680976946664,-1.0413719931155552]}"
1_2_72_0,0.3535,0.2734,0.1192,0.1542,0.167,0.2812,0.11391211,0.25479695,5.0E-4,0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.65877114113333,-1.006427528563306]}"
1_2_73_0,0.4618,0.3099,0.1112,0.1434,0.1556,0.332,0.16351728,0.36177194,5.0E-4,0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.64700321091136,-0.8538935933198112]}"
1_2_74_0,0.48135,0.3201,0.1117,0.1559,0.1953,0.2858,0.2549045,0.1881106,5.0E-4,0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.66344238061075,-0.9151586956967626]}"
1_2_75_0,0.46965,0.35385,0.2037,0.2541,0.3001,0.363,0.12808502,0.0948575,5.0E-4,0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.11538480005129,-0.8211050854494486]}"
1_2_76_0,0.32275,0.1907,0.0647,0.1011,0.09005,0.364,-0.06006551,0.60334766,4.0E-4,0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.07073853043055,-0.9120145922023442]}"
1_2_77_0,0.5759,0.406,0.178,0.2576,0.3368,0.3528,0.24022828,0.023201859,5.0E-4,0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.14889196014894,-0.9635778895108047]}"
1_2_78_0,0.5196,0.3967,0.2226,0.2924,0.32,0.4204,0.1055319,0.13560238,5.0E-4,0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.04549587094678,-0.9731898630508836]}"
1_2_79_0,0.4672,0.3119,0.1102,0.1562,0.1904,0.3544,0.13729309,0.3010279,5.0E-4,0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.08735736318675,-0.9658236777211036]}"
1_2_80_0,0.3923,0.2649,0.1148,0.183,0.2084,0.2744,0.17684118,0.13670257,5.0E-4,0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.0966998421416,-0.9333944959643888]}"
1_2_81_0,0.4179,0.35695,0.1551,0.1982,0.2429,0.2661,0.22192983,0.04557955,5.0E-4,0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.05780279033922,-0.9954680820970477]}"
1_2_82_0,0.43125,0.29545,0.1138,0.1422,0.189,0.2252,0.3138853,0.0873974,5.0E-4,0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.03076350028722,-1.0097512951145482]}"
1_2_83_0,0.5529,0.4363,0.211,0.236,0.2696,0.3884,0.17475834,0.18054709,5.0E-4,0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.09077096126641,-1.0377787319790772]}"
1_2_84_0,0.4602,0.3385,0.115,0.1626,0.2174,0.2536,0.28943682,0.07685775,5.0E-4,0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.02312782037221,-1.0351736176551305]}"
1_2_85_0,0.5055,0.3825,0.1426,0.2108,0.2736,0.3156,0.23127513,0.07128309,5.0E-4,0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.00363437870682,-1.0031935935404757]}"
1_2_86_0,0.40435,0.27955,0.1286,0.1859,0.254,0.2766,0.18760556,0.04259328,5.0E-4,0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.01306668919007,-0.9863950977274406]}"
1_2_87_0,0.5705,0.367,0.1496,0.2534,0.3776,0.3932,0.18397842,0.020238707,5.0E-4,0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.99276476376897,-1.0243040027172843]}"
1_2_88_0,0.519,0.43925,0.2241,0.2563,0.3268,0.3942,0.13666229,0.09348129,5.0E-4,0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.1651514667915,-0.9353707895894517]}"
1_2_89_0,0.38705,0.2554,0.1683,0.2274,0.2947,0.3236,0.08928447,0.04674106,5.0E-4,0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.14979027543306,-0.9318673599813856]}"
1_2_90_0,0.4288,0.273,0.0746,0.0874,0.1148,0.2194,0.3230484,0.31298625,4.0E-4,0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.14790381333641,-0.9379759039133984]}"
1_2_91_0,0.48335,0.33485,0.1297,0.1973,0.2675,0.32,0.20333605,0.08936167,5.0E-4,0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.11691193603428,-0.9250401638220772]}"
1_2_92_0,0.3145,0.2689,0.1704,0.1962,0.203,0.2202,0.17636058,0.040642742,5.0E-4,0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.1726074836497,-0.9118349291455203]}"
1_2_93_0,0.4838,0.33135,0.1758,0.2445,0.297,0.3588,0.14835034,0.09423605,5.0E-4,0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.19407721894015,-0.8874905849458813]}"
1_2_94_0,0.4994,0.3842,0.173,0.2432,0.3244,0.3616,0.16004643,0.054227408,5.0E-4,0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.13793251368268,-0.897461884599608]}"
1_2_95_0,0.33915,0.23865,0.1457,0.2084,0.2722,0.2951,0.06945212,0.040366676,5.0E-4,0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.11655260992065,-0.9042890807589163]}"
1_2_96_0,0.4609,0.328,0.1383,0.194,0.2459,0.2929,0.2228708,0.08723087,5.0E-4,0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.09463371698813,-0.9117450976171083]}"
1_2_97_0,0.5111,0.3784,0.1574,0.1945,0.253,0.3264,0.22053729,0.1266828,5.0E-4,0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.06624695400994,-0.9185722937764167]}"
1_2_98_0,0.42185,0.2805,0.1322,0.1611,0.1961,0.2725,0.21509324,0.16303886,5.0E-4,0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.0380398540886,-0.9448031000727067]}"
1_2_99_0,0.3988,0.3958,0.212,0.2304,0.2544,0.2364,0.2556675,-0.03667486,5.0E-4,0,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.08609972178898,-1.0089428113588406]}"
2_1_0_0,0.22655,0.11175,0.0598,0.0905,0.0808,0.3431,-0.20459934,0.61877805,4.0E-4,1,2026,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.8561310090544,-0.6892324017407029]}"
2_1_1_0,0.2819,0.17595,0.13375,0.1494,0.14415,0.35985,-0.12146475,0.42797616,4.5E-4,1,2026,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.79711169488773,-0.748970368134651]}"
2_1_2_0,0.1966,0.0816,0.0764,0.101,0.0687,0.4314,-0.37388533,0.72525495,4.0E-4,1,2026,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.80259141812087,-0.7736740384479379]}"
2_1_3_0,0.2012,0.084,0.0538,0.0727,0.0431,0.3962,-0.32641447,0.80377877,4.0E-4,1,2026,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.84032066005389,-0.8094269867558949]}"
2_1_4_0,0.21555,0.0901,0.03955,0.05455,0.03185,0.3972,-0.2964504,0.85153246,4.0E-4,1,2026,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.6885952085661,-0.8176914873697945]}"
2_1_5_0,0.2729,0.1237,0.0521,0.1014,0.0496,0.5396,-0.32824618,0.83163613,4.0E-4,1,2026,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.73324147818684,-0.8238000313018071]}"
2_1_6_0,0.1835,0.0782,0.0373,0.059,0.0322,0.366,-0.3321201,0.8382722,4.0E-4,1,2026,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.69344611110034,-0.8512884789958646]}"
2_1_7_0,0.1836,0.0763,0.04125,0.05635,0.03145,0.358,-0.32200888,0.8384902,4.0E-4,1,2026,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.60415357185886,-0.9474082143966533]}"
2_1_8_0,0.16395,0.0643,0.036,0.0598,0.0312,0.3943,-0.41262877,0.85334903,4.0E-4,1,2026,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.57253287385785,-0.9934019569435728]}"
2_1_9_0,0.0854,0.0341,0.0308,0.0523,0.0265,0.2542,-0.49705538,0.8111863,4.0E-4,1,2026,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.77303684527334,-1.0022952782563561]}"
2_1_10_0,0.2607,0.2167,1.4229,1.3223,1.374,1.0166,-0.5917952,-0.14950219,5.0E-4,1,2026,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.71473618333398,-1.0393956994904923]}"
2_1_11_0,0.1862,0.0779,0.0444,0.0665,0.0368,0.3757,-0.33724862,0.82157576,4.0E-4,1,2026,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.87742108128802,-1.0222378775638095]}"
2_1_12_0,0.1308,0.0515,0.0462,0.0654,0.0388,0.3325,-0.4353551,0.7910046,4.0E-4,1,2026,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.15347336809795,-0.8149067099890239]}"
2_1_13_0,0.09395,0.03925,0.03975,0.0499,0.0344,0.23345,-0.42608428,0.7431398,4.0E-4,1,2026,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.25094057642492,-0.7888555667495578]}"
2_1_14_0,0.12885,0.05315,0.0376,0.05125,0.03435,0.28515,-0.37753624,0.78497654,4.0E-4,1,2026,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.21940970995233,-0.8211050854494486]}"
2_1_15_0,0.1718,0.0741,0.0353,0.0597,0.037,0.2964,-0.2661256,0.7780444,4.0E-4,1,2026,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.11745092520476,-0.8413171793421379]}"
